VIN (1-10);County;City;State;Postal Code;Model Year;Model;Electric Vehicle Type;Clean Alternative Fuel Vehicle (CAFV) Eligibility;Electric Range;Base MSRP;Legislative District;DOL Vehicle ID;Vehicle Location;Electric Utility;2020 Census Tract
7SAYGDEEXR;Lewis;Chehalis;WA;98532;2024;134;1;2;0;0;20;268917281;POINT (-122.96462 46.6621);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53041970800
1N4BZ0CP5H;Snohomish;Lynnwood;WA;98087;2017;113;1;1;107;0;21;187614794;POINT (-122.27981 47.85727);PUGET SOUND ENERGY INC;53061042004
1G1FY6S06N;Thurston;Olympia;WA;98502;2022;34;1;2;0;0;22;213347928;POINT (-122.92333 47.03779);PUGET SOUND ENERGY INC;53067010600
5YJ3E1EA5R;Snohomish;Bothell;WA;98021;2024;131;1;2;0;0;1;274288444;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051938
JTMAB3FV2R;Snohomish;Bothell;WA;98021;2024;141 PRIME;2;1;42;0;1;271435055;POINT (-122.18384 47.8031);PUGET SOUND ENERGY INC;53061051116
1C4RJXR68R;Thurston;Lacey;WA;98516;2024;74;2;3;21;0;22;252569761;POINT (-122.75103 47.08149);PUGET SOUND ENERGY INC;53067012221
WVWKR7AU3K;Snohomish;Bothell;WA;98012;2019;144;1;1;125;0;1;254675942;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052010
JN1AZ0CP5C;King;Seattle;WA;98103;2012;113;1;1;73;0;43;203079215;POINT (-122.35436 47.67596);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033005402
5YJ3E1EA9K;King;Sammamish;WA;98074;2019;131;1;1;220;0;45;475828223;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032216
KM8KNDAF5P;King;Seattle;WA;98126;2023;63 5;1;2;0;0;34;259144448;POINT (-122.36893 47.54701);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009900
3C3CFFGE0E;King;Seattle;WA;98122;2014;42;1;1;87;0;37;143561540;POINT (-122.31009 47.60803);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033008800
7SAYGAEEXP;King;Renton;WA;98059;2023;134;1;2;0;0;11;230901758;POINT (-122.15734 47.48718);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033025103
5YJYGDEE0M;King;North Bend;WA;98045;2021;134;1;2;0;0;5;274081678;POINT (-121.7831 47.49348);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032704
1GYKPRRL9R;King;Black Diamond;WA;98010;2024;32;1;2;0;0;5;262742511;POINT (-122.00143 47.30893);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033031603
KNDCE3LG5L;King;Seattle;WA;98118;2020;77;1;1;239;0;37;138738456;POINT (-122.2668 47.55115);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033010302
5YJ3E1EBXN;King;Seattle;WA;98119;2022;131;1;2;0;0;36;213725424;POINT (-122.3684 47.64586);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033007101
7SAYGDEE4R;King;Kent;WA;98032;2024;134;1;2;0;0;33;262615321;POINT (-122.23741 47.3807);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033029804
1V2WNPE82P;Clallam;Sequim;WA;98382;2023;146;1;2;0;0;24;252029704;POINT (-123.10367 48.07965);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLALLAM COUNTY;53009001902
2C4RC1N72J;Snohomish;Everett;WA;98201;2018;40;2;1;33;0;38;171274694;POINT (-122.20596 47.97659);PUGET SOUND ENERGY INC;53061041000
3GNKDCRJ2R;King;Renton;WA;98058;2024;33;1;2;0;0;11;272732694;POINT (-122.08747 47.4466);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033031906
1N4AZ0CP4E;King;Seattle;WA;98108;2014;113;1;1;84;0;11;112912075;POINT (-122.30346 47.55379);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033010001
3FMTK3SU8R;King;Bellevue;WA;98007;2024;51;1;2;0;0;48;276153237;POINT (-122.12056 47.61334);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033022804
50EA1TEA5R;Snohomish;Bothell;WA;98012;2024;91;1;2;0;0;44;269405146;POINT (-122.21061 47.83448);PUGET SOUND ENERGY INC;53061052008
5YJ3E1EA7J;King;Seattle;WA;98116;2018;131;1;1;215;0;34;324952932;POINT (-122.41067 47.57894);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009801
5YJ3E1ET0R;Clark;Vancouver;WA;98661;2024;131;1;2;0;0;49;272257534;POINT (-122.62934 45.63201);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041110
WA1AAAGE6N;Benton;Richland;WA;99352;2022;5;1;2;0;0;8;195331566;POINT (-119.27372 46.27391);BONNEVILLE POWER ADMINISTRATION||136 OF RICHLAND - (WA);53005010811
WBY43AW0XP;King;Seattle;WA;98116;2023;21;1;2;0;0;34;252451230;POINT (-122.41067 47.57894);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033009701
7SAYGDEE8R;King;Issaquah;WA;98029;2024;134;1;2;0;0;5;264307879;POINT (-122.00292 47.54748);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032221
JTDKARFPXJ;King;Seattle;WA;98107;2018;140;2;3;25;0;36;474161663;POINT (-122.38591 47.67597);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033003201
JTMEB3FVXR;Kitsap;Bremerton;WA;98312;2024;141 PRIME;2;1;42;0;35;262466956;POINT (-122.6563 47.56739);PUGET SOUND ENERGY INC;53035091400
JTJHKCFZ8R;King;Issaquah;WA;98027;2024;85;2;1;37;0;41;258818430;POINT (-122.03439 47.5301);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033023404
7SAYGDEE7N;King;Sammamish;WA;98029;2022;134;1;2;0;0;5;224444146;POINT (-122.00292 47.54748);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032222
2C4RC1S79R;King;Renton;WA;98057;2024;40;2;1;32;0;11;267553114;POINT (-122.20489 47.47532);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033026200
1G1FZ6S0XP;Pierce;Roy;WA;98580;2023;34;1;2;0;0;2;238098605;POINT (-122.54332 47.00328);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53053073006
7SAYGDEE0P;King;Issaquah;WA;98029;2023;134;1;2;0;0;5;245483864;POINT (-122.00292 47.54748);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032220
1FTBW9CM7R;King;Seattle;WA;98119;2024;53;1;2;0;0;36;273423363;POINT (-122.3684 47.64586);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033007102
KNDC34LA1R;King;Seattle;WA;98125;2024;75;1;2;0;0;46;268723213;POINT (-122.30253 47.72656);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033001202
1G1FZ6S08K;King;Seattle;WA;98103;2019;35;1;1;238;0;43;475856496;POINT (-122.35436 47.67596);136 OF SEATTLE - (WA)|136 OF TACOMA - (WA);53033005100
5YJ3E1EB4N;Clark;Vancouver;WA;98682;2022;131;1;2;0;0;18;218086445;POINT (-122.55149 45.69345);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011040604
7FCTGAAA1N;King;Sammamish;WA;98074;2022;123;1;2;0;0;45;209705513;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032216
7SAYGDEE3R;King;Sammamish;WA;98074;2024;134;1;2;0;0;45;264754927;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032216
KNDCR3LF8P;King;Auburn;WA;98092;2023;77;2;1;33;0;47;253731313;POINT (-122.1821 47.3199);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033031208
5YJ3E1EB3K;King;Sammamish;WA;98074;2019;131;1;1;220;0;45;227385301;POINT (-122.02054 47.60326);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033032316
KNDC4DLC3P;King;Seattle;WA;98118;2023;75;1;2;0;0;37;252708109;POINT (-122.2668 47.55115);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033011102
7SAYGDEE3R;King;Federal Way;WA;98023;2024;134;1;2;0;0;30;260402495;POINT (-122.36321 47.3084);PUGET SOUND ENERGY INC||136 OF TACOMA - (WA);53033030305
WBY33AW0XR;Clark;Camas;WA;98607;2024;21;1;2;0;0;18;275083266;POINT (-122.40199 45.58694);BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA);53011041325
